T_degC,Salnty
10.5,33.44
10.46,33.44
10.46,33.437
10.45,33.42
10.45,33.421
10.45,33.431
10.45,33.44
10.24,33.424
10.06,33.42
9.86,33.494
9.83,33.51
9.67,33.58
9.5,33.64
9.32,33.689
8.76,33.847
8.71,33.86
8.53,33.876
8.45,
8.26,33.926
7.96,33.98
7.77,33.99
6.8,34.04
6.55,34.056
5.78,34.113
5.3,34.16
5.29,34.161
5.01,34.21
4.72,34.261
4.44,34.31
10.1,32.95
9.89,32.94
9.75,32.939
9.69,32.95
9.52,33.013
9.06,33.24
9.04,33.272
8.92,33.46
8.83,33.488
8.37,33.6
8.26,33.631
7.85,33.745
7.64,33.8
7.5,33.833
6.98,33.93
6.85,33.939
6.32,33.943
6.05,33.95
5.95,33.957
5.6,34
5.5,34.016
5.02,34.101
4.74,34.16
4.62,34.188
4.33,34.259
4.08,34.319
3.99,34.34
3.85,34.354
3.62,34.378
3.38,34.403
3.15,34.429
3.14,34.43
10.2,32.63
10.05,32.66
9.95,32.66
9.94,32.66
9.92,32.673
9.87,32.68
9.62,32.75
9.66,32.736
9.9,32.66
9.65,32.74
9.62,32.765
9.23,33.12
9.21,33.132
8.79,33.398
8.37,33.605
7.71,33.82
7.58,33.844
6.93,33.926
6.47,33.93
6.37,33.941
5.54,34.041
5.02,34.11
4.97,34.113
4.59,34.135
4.31,34.151
4.14,34.16
4.11,34.169
3.89,34.252
3.66,34.336
3.43,34.421
3.35,34.45
10.4,32.68
10.22,32.7
10.2,32.694
10.14,32.66
10.14,32.657
10.07,32.641
9.97,
9.72,32.699
9.42,32.79
9.32,32.967
9.27,33.1
9.02,33.286
8.6,33.533
8.56,33.55
8.32,33.746
8.18,33.84
7.71,33.863
7.16,33.89
7.08,33.893
6.61,33.91
6.38,33.75
5.79,33.955
5.14,34
5.1,34.01
4.65,34.128
4.31,34.245
4.21,34.29
4.07,34.309
3.83,34.34
3.59,34.372
3.39,34.4
10.5,32.75
10.52,32.75
10.51,32.748
10.48,32.74
10.47,32.74
10.34,32.737
10.2,
9.85,32.738
9.7,32.74
9.29,32.74
9.2,32.791
9.35,33.42
8.28,33.565
8.24,33.62
7.95,33.724
7.5,33.78
7.42,33.807
6.98,33.938
6.94,33.95
6.54,33.988
5.86,34
5.77,34.012
5.3,34.075
4.83,34.141
4.36,34.211
4.1,34.25
11.6,32.88
11.69,32.86
11.69,32.86
11.66,32.86
11.64,32.86
11.64,32.863
11.64,32.88
11.61,32.882
11.36,32.9
11.18,32.927
10.2,33.1
9.9,33.165
8.83,33.425
8.29,33.58
8.11,33.638
7.65,33.8
7.5,33.833
6.98,33.916
6.72,33.93
6.54,33.944
5.96,33.98
5.78,33.996
5.09,34.073
4.68,34.13
4.54,34.154
4.17,34.225
3.88,34.286
3.78,34.31
3.67,34.321
3.48,34.342
3.28,34.363
3.08,34.385
2.88,34.408
2.78,34.42
12.5,33.17
12.66,33.24
12.66,33.212
12.64,33.057
12.64,33.04
12.64,33.068
12.64,33.17
12.64,33.159
12.63,33.13
12.64,33.158
12.66,33.22
12.52,33.283
11.94,33.383
11.77,33.4
10.84,33.42
9.73,33.44
8.9,33.518
7.75,33.672
8.16,33.86
7.03,33.828
6.76,33.95
6.07,33.932
5.21,33.942
5.12,33.8
4.71,33.996
4.38,34.086
4.28,34.14
4.14,34.166
3.89,34.217
3.63,34.268
3.37,34.32
3.11,34.374
3.08,34.38
12.2,33.13
12.22,32.92
12.22,32.9
12.23,32.84
12.23,32.842
12.23,32.858
12.23,
12.21,32.891
12.2,32.9
12.24,33.04
12.25,33.042
12.49,33.096
12.6,33.12
11.74,33.164
9.91,33.293
9.83,33.3
8.3,33.66
8.06,33.77
7.61,33.874
7.21,33.93
7.1,33.934
5.93,33.934
5.49,33.91
5.13,33.936
4.67,33.993
4.44,34.05
4.39,34.061
4.11,34.12
3.84,34.179
3.56,34.24
3.52,34.25
12,32.97
8.86,32.94
12,32.94
11.99,32.94
11.99,32.94
11.99,32.963
12,33.01
11.95,33
11.7,32.95
11.57,32.983
11.2,33.08
10.67,33.15
9.36,33.356
8.88,33.44
8.56,33.585
8.31,33.78
7.98,33.806
,33.95
7.38,33.952
6.86,33.946
6.68,33.98
5.94,33.98
5.34,33.98
5.22,33.996
4.73,34.082
4.37,34.18
4.32,34.2
4.11,34.229
3.84,34.266
3.58,34.304
3.32,34.343
3.2,34.36
11.7,32.88
11.62,32.84
11.61,32.84
11.58,32.84
11.58,32.838
11.58,32.821
11.58,32.81
11.56,32.847
11.54,32.88
11.31,32.827
11.23,32.81
10.82,32.936
10.36,33.12
10.21,33.147
9.49,33.284
9.16,33.35
8.71,33.665
8.49,33.95
8.39,33.951
7.91,33.957
7.66,33.96
6.99,34.03
6.24,34.13
6.17,34.134
5.48,34.166
4.89,34.18
4.72,34.18
4.53,34.198
4.23,34.226
3.94,34.255
3.65,34.285
3.42,34.31
11.5,32.77
11.5,32.84
11.5,32.843
11.5,32.858
11.5,32.86
11.52,32.81
11.53,32.75
11.49,32.769
11.42,32.83
11.4,32.908
11.37,32.95
11.13,32.983
10.63,33.04
10.56,33.058
9.73,33.302
9.17,33.49
8.66,33.706
8.28,33.89
8.25,33.898
7.78,33.994
7.55,34.02
6.93,34.089
6.3,34.13
6.16,34.131
5.48,34.13
4.9,34.131
4.8,34.13
4.55,34.187
4.24,34.258
3.93,34.332
3.63,34.406
3.57,34.42
11.4,32.95
11.38,32.9
11.38,32.896
11.39,32.864
11.39,32.86
11.39,32.86
11.4,32.86
11.35,32.846
11.23,32.81
11.35,32.866
11.49,33.01
11.07,33.087
9.79,33.286
9.19,33.37
8.87,33.495
8.56,33.69
8.24,33.788
7.61,33.936
7.53,33.57
6.93,34.005
6.34,34
5.87,34.05
5.28,34.105
5.2,34.11
4.8,34.144
4.39,34.179
4.13,34.2
4.07,34.207
3.85,34.238
3.62,34.269
3.39,34.301
3.18,34.33
11.5,32.84
11.48,32.78
11.48,32.781
11.47,32.798
11.47,32.81
11.47,32.782
11.48,32.7
11.48,32.709
11.45,32.77
11.4,32.793
10.97,32.92
10.71,32.95
9.6,33.104
8.9,33.22
8.62,33.342
7.98,33.69
7.69,33.686
7.11,33.706
6.9,33.73
6.55,33.73
5.68,33.73
5.51,33.786
5.11,34.006
5.04,34.13
4.85,34.187
4.49,34.269
4.14,34.308
4.08,34.31
3.89,34.315
3.65,34.321
3.42,34.328
3.18,34.337
3.09,34.34
11.3,32.79
11.25,32.81
11.18,32.803
11.1,32.79
10.88,32.843
9.88,33.08
9.4,33.08
9.39,33.093
9.1,33.48
9.08,33.492
8.67,33.724
8.26,33.84
8.25,33.842
7.57,33.859
7.53,33.86
6.95,33.92
6.42,33.98
5.71,33.952
5.68,33.95
5.22,34.069
4.85,34.225
4.84,34.23
4.52,34.28
4.23,34.307
4.01,34.31
3.98,34.313
3.76,34.332
3.54,34.352
3.32,34.372
3.1,34.394
3.04,34.4
10.9,33.01
10.77,32.92
10.61,33.033
10.53,33.1
10.35,33.141
9.77,
9.75,33.243
9.38,33.3
9.33,33.309
8.82,33.42
8.77,33.444
8.43,33.636
8.2,33.78
8.12,33.799
7.47,33.89
7.37,33.897
6.87,33.925
6.62,33.93
6.56,33.944
6.23,34.05
6.15,34.066
5.57,34.163
5.11,34.22
5.01,34.224
4.61,34.235
4.27,34.229
4.14,34.22
4.01,34.23
3.76,34.25
3.51,34.271
3.27,34.292
3.07,34.31
11,33.28
10.89,33.3
10.83,33.319
10.81,
10.8,33.345
10.61,33.416
10.6,33.42
9.89,33.567
9.82,33.58
9.27,33.671
9.21,33.68
8.88,33.732
8.61,33.789
8.57,33.8
8.19,33.985
8.16,34
7.66,34
7.17,34
7.13,34
6.72,34.1
6.7,34.11
6.11,34.169
5.43,34.217
5.38,34.22
4.9,34.269
4.5,34.31
4.48,34.311
4.21,34.319
3.95,34.329
3.69,34.339
3.67,34.34
12,33.31
11.88,33.26
11.74,33.265
11.66,33.28
11.55,33.296
11.12,33.39
10.8,33.55
10.43,33.51
9.88,33.793
9.29,33.87
8.42,33.91
7.84,33.957
7.5,34.09
6.59,34.09
6.18,34.16
5.62,34.191
5.42,34.14
5.2,34.225
4.82,34.261
4.55,34.29
11.8,32.92
,32.84
11.51,32.937
11.46,32.94
11.36,32.929
11.06,
11.03,32.917
10.64,32.95
10.53,32.977
9.92,33.15
9.75,33.206
9,33.477
8.56,33.66
8.49,33.702
8.31,33.86
8.23,33.891
7.8,34.009
7.46,34.05
7.27,34.05
6.44,34.05
6.32,34.061
5.8,34.127
5.56,34.18
5.38,34.199
4.87,34.251
4.39,34.295
4.21,34.31
4.06,34.323
3.82,34.345
3.58,34.368
3.45,34.38
12.5,32.95
12.5,33.027
12.44,33.08
12.43,33.072
12.3,33.04
12.19,33.029
11.45,
11.12,32.972
10.72,32.99
10.65,33.068
10.53,33.22
10.52,33.29
10.5,33.12
10.29,33.47
9.7,33.626
8.25,33.874
8.12,33.89
7.5,33.878
7.08,33.17
7.04,33.891
6.18,33.98
6.13,33.982
5.5,34.004
5.14,34.02
5.03,34.033
4.65,34.085
4.33,34.138
4.22,34.16
4.07,
3.82,
3.57,
3.45,34.07
13.7,33.35
13.67,33.22
13.67,33.222
13.67,33.238
13.67,33.24
13.6,33.206
13.51,33.17
13.48,33.217
13.47,33.26
13.43,33.159
13.42,33.13
13.5,33.247
13.56,33.42
13.27,33.379
12.03,33.209
11.56,33.15
9.83,33.323
8.79,33.6
8.53,33.699
8,33.958
7.95,34
6.99,33.959
6.13,33.95
6.08,33.959
5.52,34.057
4.95,34.16
4.58,34.23
14,33.22
13.97,33.15
13.94,33.15
13.6,33.15
13.52,33.15
13.44,33.234
13.32,33.3
13.35,33.235
13.38,33.19
13.34,33.37
13.33,33.369
13.17,33.34
13.08,33.19
12.29,33.285
10.54,33.208
10.17,33.19
9.96,33.614
9.79,34
9.56,34.041
8.52,34.135
8.01,34.14
7.06,34.213
6.28,34.239
6.19,34.25
5.59,34.237
4.96,34.225
4.47,34.22
4.45,
4.2,
3.95,
3.7,
3.45,
3.36,
13.9,33.17
13.13,33.15
12.84,33.137
12.8,33.13
12.8,33.13
12.7,33.13
12.66,33.127
11.62,33.06
11.59,33.061
10.89,33.12
10.85,33.124
9.96,33.249
9.2,33.4
9.16,33.415
8.42,33.73
8.34,33.755
7.6,33.943
7.22,34
7.02,33.985
6.27,33.962
6.24,33.96
5.64,34.035
5.08,34.119
4.6,34.207
4.54,34.22
4.23,
3.87,
3.51,
3.15,
3.11,33.93
13.9,33.08
13.73,33.19
13.67,33.19
13.37,33.15
13.36,33.15
13.19,33.142
13,33.13
12.02,33.027
11.69,33.01
10.87,33.21
10.72,33.222
9.9,33.26
9.72,33.26
9.22,33.405
8.78,33.57
8.66,33.616
8.01,33.847
7.96,33.86
7.42,33.925
7.3,33.93
6.76,33.953
5.9,34
5.77,34.02
5.7,
4.92,
4.19,33.86
13.7,33.12
13.26,33.15
13.22,33.15
12.86,33.15
12.76,33.15
12.46,33.179
11.72,33.24
11.54,33.229
10.78,33.19
10.41,33.217
9.83,33.3
9.53,33.394
9.03,33.611
8.92,33.69
8.68,33.783
8.31,33.91
8.13,33.939
7.71,33.939
7.52,33.95
7.25,33.963
6.56,33.8
6.35,34.015
5.85,34.065
5.67,34.09
5.45,34.099
5.03,34.121
4.63,34.147
4.48,34.16
4.31,34.211
4.03,34.299
3.74,34.388
3.48,34.47
13.9,33.13
13.44,33.12
13.2,33.169
13.13,33.19
13.02,33.185
12.59,33.15
12.44,33.158
11.4,33.21
11.23,33.196
10.71,33.15
10.4,33.18
9.5,33.349
9.09,33.48
8.9,33.601
8.56,33.93
8.43,33.988
7.95,34.026
7.67,34.07
7.43,34.061
6.64,34.02
6.36,34.046
5.58,34.167
5.26,34.25
5.11,34.27
4.79,34.313
4.47,34.358
4.18,34.4
13.6,33.13
12.98,33.15
12.93,33.149
12.56,33.132
12.54,33.13
12.5,33.131
12.48,33.15
12.18,33.177
11.8,33.24
11.44,33.441
11.38,33.48
10.83,33.457
10.37,33.39
10.02,33.435
9.05,33.607
8.9,33.64
8.05,33.864
7.7,33.96
7.49,33.968
6.86,33.96
6.72,33.95
6.19,33.98
6.04,33.999
5.49,34.083
5.09,34.17
4.98,34.2
4.79,34.221
4.49,34.253
4.19,34.288
3.9,34.323
3.84,34.33
14.2,33.37
13.66,33.33
13.62,33.326
13.29,33.289
13.2,33.28
12.88,33.28
12.17,33.28
11.96,33.28
11.32,33.28
11.05,33.291
10.59,33.33
10.21,33.401
9.43,33.598
9.18,33.68
8.84,33.806
8.34,34
8.1,33.984
7.56,33.962
7.35,33.96
7.01,33.961
6.24,33.98
6.04,33.987
5.67,34.02
5.6,34.04
5.37,34.103
4.97,34.218
4.57,34.335
4.49,34.36
4.27,
3.98,
3.7,
3.41,
3.41,34.2
14.37,33.55
14.23,33.55
14.22,33.55
14.05,33.546
19.76,33.53
13.83,33.534
13.3,33.49
13.22,33.478
12.08,33.37
12.03,33.371
10.77,33.46
10.13,33.575
9.78,33.71
9.76,33.718
8.99,34.09
8.96,34.09
8.33,34.09
7.8,34.09
7.78,34.089
6.73,34.05
6.73,34.051
6.55,34.183
6.38,34.31
6.37,34.312
5.82,34.374
5.23,34.413
4.63,34.43
4.62,34.43
4.3,34.419
3.98,34.41
3.66,34.403
3.52,34.4
13.6,33.42
13.65,33.49
13.64,33.49
13.57,33.49
13.52,33.49
13.51,33.521
13.48,33.6
13.49,33.587
13.52,33.51
13.46,33.516
13.06,33.48
12.56,33.489
10.93,33.574
10.18,33.64
9.79,33.723
9.31,33.89
8.87,33.961
7.87,34.09
7.36,34.13
7.15,34.154
6.63,34.2
6.56,34.203
6.2,34.223
5.9,34.24
13.2,33.49
13.26,33.49
13.26,33.492
13.16,33.517
13.65,33.52
12.96,33.544
12.28,33.6
12.23,33.601
10.87,33.62
10.16,33.62
10.12,33.62
9.8,33.721
9.53,33.849
9.51,33.86
8.61,33.947
8.55,33.95
7.82,34.05
7.2,34.131
7.13,34.14
6.48,34.091
6.44,34.09
6.04,34.161
5.68,34.274
5.64,34.29
5.25,34.328
4.83,34.373
4.42,34.422
4.35,34.43
4.11,
3.83,
3.54,
3.36,34.65
13.65,33.51
13.71,33.49
13.71,33.48
13.68,33.433
13.67,33.42
13.69,33.427
13.72,33.44
13.55,33.436
12.79,33.4
12.42,33.368
11.52,33.3
11.16,33.291
10.18,33.333
9.74,33.4
9.46,33.494
8.76,33.8
8.5,33.865
7.8,33.977
7.51,33.98
7.19,34.011
6.45,34.09
6.39,34.154
6.23,34.299
6.18,34.33
5.83,34.382
5.26,34.431
4.71,34.45
4.67,34.448
4.35,34.43
4.03,34.415
3.71,34.401
3.69,34.4
13.6,33.4
13.61,33.33
13.61,33.331
13.57,33.344
13.54,33.35
13.53,33.358
13.47,33.39
13.46,33.389
13,33.295
12.85,33.26
11.91,33.274
11.8,33.28
10.45,33.431
9.18,33.641
9.09,33.66
8.45,33.867
8.45,33.87
7.79,33.87
7.18,33.87
6.4,34.061
6.38,34.07
5.84,34.205
5.34,34.322
5.26,34.4
4.92,34.412
4.57,34.476
4.31,34.51
4.3,34.511
4.01,34.53
3.71,34.55
3.42,34.572
3.32,34.58
13.3,33.44
13.35,33.28
13.32,33.275
13.11,33.236
12.98,33.21
12.92,33.199
12.78,33.19
12.75,33.192
12.64,33.24
12.62,33.254
12.52,33.39
12.31,33.407
10.89,33.519
9.67,33.62
9.49,33.661
8.66,33.91
8.5,33.938
7.76,34.035
7.36,34.04
7.22,34.04
6.58,34.04
6.44,34.049
5.85,34.113
5.6,34.16
5.37,34.217
4.92,34.334
4.53,34.444
4.38,34.49
4.22,34.501
3.93,34.522
3.64,34.544
3.45,34.56
13.89,33.42
13.94,33.51
13.94,33.507
13.93,33.458
13.92,33.42
13.84,33.409
13.48,33.35
13.47,33.351
13.07,33.31
11.73,33.328
11.67,33.33
10.52,33.401
9.55,33.51
8.62,33.75
8.57,33.757
7.81,33.843
7.27,33.86
7.23,33.864
6.49,33.96
6.47,33.962
5.9,34.02
5.25,34.14
5.39,34.08
4.97,34.142
4.62,34.207
4.4,34.11
4.33,34.273
4.03,34.342
3.73,34.412
3.43,34.485
3.41,34.49
14.4,33.24
14.23,33.42
14.23,33.419
14.21,33.407
14.2,33.4
13.97,33.37
12.72,33.24
12.7,33.239
12.11,33.26
12.04,33.259
10.21,33.3
9.3,33.546
8.86,33.78
8.84,33.78
8.19,33.78
8.16,33.784
7.57,33.89
7.05,34.02
6.26,34.129
6.25,34.13
5.74,34.135
5.34,34.14
5.32,34.14
4.87,34.248
4.42,34.368
4.02,34.49
4.01,34.49
3.76,34.495
3.51,34.5
3.26,34.507
3.16,34.51
13.4,33.28
13.05,33.28
13,33.276
12.58,33.234
12.36,33.21
12.34,33.222
12.24,33.26
12.23,33.261
12.06,33.28
11.93,33.307
11.92,33.31
10.72,33.361
9.31,33.49
8.53,33.96
8.52,33.964
7.82,34.035
7.24,34.109
7.23,34.11
6.41,34.14
6.4,34.14
5.89,34.199
5.5,34.269
5.49,34.27
5.01,34.346
4.55,34.415
4.16,34.47
4.14,34.47
3.88,34.469
3.62,34.469
3.36,34.47
3.29,34.47
13.9,33.31
14.02,33.31
14.01,33.313
13.88,33.338
13.77,33.35
13.68,33.343
13.42,33.3
13.41,33.298
13.36,33.28
13.37,33.269
13.4,33.19
13.38,33.195
13.09,33.251
12.84,33.3
12.63,33.308
10.13,33.46
9.93,33.503
8.64,33.851
8.12,34.11
8.03,34.107
7.06,34.13
6.99,34.133
6.14,34.175
5.54,34.22
5.48,34.226
5,34.274
4.52,34.326
4.22,34.36
14.4,33.51
14.43,33.66
14.43,33.657
14.42,33.586
14.41,33.51
14.4,33.51
14.36,33.51
14.33,33.499
13.93,33.35
13.92,33.353
13.72,33.48
13.71,33.478
13.5,33.485
13.31,33.49
13.18,33.488
9.91,33.53
9.75,33.549
8.32,33.796
7.87,34.02
7.82,34.032
6.82,34.22
6.77,34.22
5.91,34.22
5.26,34.22
5.23,34.225
4.74,34.314
4.35,34.41
4.13,34.49
4.08,34.496
3.84,34.522
3.61,34.55
3.38,34.578
3.36,34.58
15.6,33.86
15.64,33.8
15.63,33.796
15.53,33.766
15.48,33.75
15.45,33.758
15.41,33.8
15.39,33.809
15.3,33.84
15.3,33.836
15.28,33.82
15.07,33.786
13.88,33.643
12.99,33.57
12.31,33.561
10.34,33.62
9.79,33.676
8.63,33.864
8.36,33.96
8.05,34.024
7.42,34.16
7.22,34.193
6.68,34.26
6.44,34.27
6.14,34.292
5.5,34.341
4.88,34.388
4.72,34.4
4.48,34.425
4.16,34.46
3.84,34.497
3.65,34.52
15.3,33.75
15.38,33.78
15.38,33.782
15.37,33.806
15.36,33.82
15.36,33.817
15.33,33.8
15.32,33.798
15.18,33.771
15.17,33.77
14.55,33.615
14.49,33.6
13.97,33.586
13.19,33.615
13.12,33.62
10.21,33.62
10.02,33.62
8.6,33.799
7.82,33.997
7.78,34.02
6.69,34.136
6.62,34.14
6.02,34.228
5.57,34.302
5.52,34.31
5.11,34.352
4.67,34.391
4.29,34.418
4.26,34.42
4.02,34.444
3.76,34.47
3.5,34.497
3.38,34.51
15.65,33.77
15.61,33.82
15.59,33.818
15.37,33.779
15.24,33.75
15.19,33.755
15.07,33.77
15.04,33.76
14.7,33.64
14.66,33.633
14.42,33.6
14.39,33.593
14.12,33.533
13.93,33.49
13.45,33.48
10.48,33.53
10.02,33.58
8.56,33.815
8.15,33.96
7.88,33.99
6.81,34.07
6.62,34.091
5.82,34.127
,34.16
5.2,34.267
4.77,34.334
4.52,34.383
4.47,34.4
4.31,34.422
4,34.468
3.68,34.515
3.39,34.56
14.6,33.53
14.83,33.46
14.85,33.467
15.01,33.562
15.05,33.64
15.03,33.64
14.87,33.64
14.86,33.64
14.75,33.64
14.75,33.641
14.68,33.66
14.2,33.572
13.36,33.39
13.3,33.391
10.44,33.57
10.36,33.579
8.81,33.799
7.99,33.96
7.97,33.962
6.61,34.05
5.77,34.144
5.23,34.23
4.83,34.309
4.51,34.375
4.3,34.42
4.26,34.423
3.99,34.443
3.72,34.464
3.44,34.486
3.39,34.49
14.75,33.62
14.92,33.62
14.72,33.635
14.69,33.651
14.67,33.66
14.66,33.668
14.6,33.68
14.59,33.677
14.42,33.57
14.27,33.514
14.26,33.51
13.54,33.425
12.39,33.37
9.51,33.53
9.48,33.534
8.23,33.728
7.8,33.887
7.8,33.89
7.11,34.107
7.1,34.11
6.53,34.15
5.95,34.196
5.41,34.2
5.37,34.247
4.8,34.302
4.24,34.36
14.95,33.64
14.9,33.64
14.9,33.639
14.86,33.626
14.84,33.62
14.82,33.611
14.75,33.58
14.74,33.587
14.68,33.66
14.68,33.656
14.56,33.58
13.3,33.512
11.73,33.51
11.67,33.513
9.33,33.73
9.31,33.746
8.75,34.052
8.22,34.16
8.2,34.163
7.23,34.2
7.22,34.201
6.38,34.264
5.68,34.33
5.16,34.369
4.73,34.4
4.43,34.42
4.39,34.423
4.09,34.451
3.79,34.481
3.49,34.512
3.41,34.52
14.2,33.49
14.22,33.49
14.21,33.488
14.1,33.471
14.02,33.46
14,33.462
13.9,33.48
13.72,33.462
13.71,33.46
12.96,33.344
12.83,33.33
11.46,33.336
9.98,33.459
9.75,33.49
9.25,33.932
9.21,33.96
8.66,34.104
8.05,34.098
7.95,34.11
6.91,34.11
6.78,34.11
6.19,34.178
5.68,34.269
5.6,34.29
5.22,34.316
4.74,34.353
4.26,34.392
4.17,34.4
13.8,33.48
13.81,33.46
13.78,33.46
13.43,33.468
13.19,33.48
13.16,33.484
13.03,33.51
12.95,33.501
10.84,33.35
9.95,33.549
9.91,33.57
9.39,33.685
8.97,33.775
8.94,33.78
8.16,33.947
8.15,33.95
7.91,34.074
7.76,34.138
7.75,34.14
6.48,34.058
6.38,34.05
5.61,34.072
5.07,34.148
5.02,34.16
4.7,34.266
4.4,34.378
4.19,34.481
4.18,34.49
3.96,34.478
3.71,34.466
3.46,34.456
3.33,34.45
14.5,33.46
14.51,33.62
14.5,33.622
14.46,33.635
14.44,33.64
14.36,33.665
14.08,33.71
14,33.698
13.45,33.6
13.05,33.548
11.69,33.44
11.22,33.49
9.85,33.722
9.32,33.87
9.09,33.837
8.8,33.82
8.63,33.873
8.15,34.061
7.9,34.18
7.64,34.206
6.89,34.23
6.67,34.244
6.04,34.289
5.77,34.31
5.56,34.322
5.1,34.349
4.7,34.373
4.59,34.38
4.38,34.4
4.07,34.431
3.76,34.463
3.6,34.48
14.7,33.53
14.59,33.62
14.58,33.618
14.52,33.597
14.46,33.58
14.37,33.564
13.87,33.51
13.81,33.51
13.07,33.58
13.04,33.589
12.28,33.8
11.27,33.763
10.26,33.68
8.83,33.87
8.22,34.006
7.96,34.088
7.96,34.09
7.27,34.13
7.25,34.13
6.4,34.132
5.57,34.139
5.52,34.14
5.06,34.203
4.68,34.269
4.42,34.33
4.41,34.33
4.14,34.322
3.87,34.316
3.61,34.311
3.52,34.31
13.78,33.4
13.85,33.44
13.86,33.451
13.9,33.521
13.9,33.53
13.5,33.505
12.72,33.44
12.23,33.407
11.5,33.4
10.74,33.523
10.28,33.62
9.8,33.62
9.43,33.62
9.39,33.635
9.09,33.78
8.98,33.86
8.66,33.983
8.39,34.05
8.37,34.056
8.21,34.087
8.12,34.09
7.54,34.09
6.69,34.09
6.65,
6.05,
5.45,
5.15,
14.6,33.66
14.59,33.66
