T_degC,Salnty
14.59,33.664
14.59,33.684
14.59,33.69
14.58,33.677
14.57,33.66
14.47,33.654
14.05,33.64
13.67,33.623
13.01,33.6
12.57,33.582
11.69,33.575
10.57,33.87
10.98,33.795
10.43,33.69
10.14,33.909
9.74,34.325
9.68,34.42
9.19,34.448
8.54,34.38
8.04,34.362
7.2,34.342
7.05,34.34
6.38,34.35
5.62,34.378
5.22,34.4
5.03,34.415
4.58,34.451
4.12,34.49
4.12,34.49
14.65,33.62
14.64,33.62
14.63,33.62
14.5,33.62
14.4,33.62
14.36,33.637
14.02,33.71
13.98,33.709
12.69,33.66
11.05,33.62
10.99,33.62
10.03,33.684
9.45,33.8
9.05,34.07
9.04,34.072
8.74,34.1
8.43,34.129
8.42,34.13
7.53,34.263
7.48,34.27
6.68,34.306
5.94,34.308
5.88,34.31
5.39,34.335
4.94,34.366
4.57,34.4
4.23,34.446
3.89,34.494
3.55,34.544
3.44,34.56
14.7,33.49
14.7,33.69
14.7,33.687
14.69,33.606
14.69,33.53
14.68,33.531
14.59,33.58
14.58,33.578
14.39,33.55
14.29,33.545
13.8,33.53
13.58,33.525
12.71,33.501
12.35,33.49
11.46,33.388
9.14,33.354
9.06,33.35
8.9,33.96
8.87,33.969
8.52,34.038
8.26,34.07
7.53,34.156
6.6,34.25
6.52,34.255
5.86,34.29
5.36,34.309
5.26,34.31
4.97,34.356
4.57,34.418
4.18,34.483
4.14,34.49
14.68,33.6
14.67,33.51
14.67,33.521
14.69,33.617
14.7,33.66
14.59,33.663
14.34,33.62
14.32,33.607
14.26,33.58
14.14,33.58
13.8,33.58
13.2,33.596
11.69,33.679
11.29,33.71
10.48,33.819
9.72,33.95
9.12,34.022
8.49,34.104
8.45,34.11
8.38,34.23
8.3,34.34
7.76,34.34
6.63,34.34
6.47,34.34
5.87,34.358
5.33,34.383
5.06,34.4
4.94,34.408
4.58,34.432
4.23,34.458
3.88,34.486
3.83,34.49
15.5,33.77
15.48,33.77
15.48,33.768
15.48,33.755
15.48,33.75
15.36,33.718
15.01,33.64
14.91,33.622
14.57,33.6
14.4,33.606
13.88,33.64
13.37,33.674
11.92,33.795
11.25,33.86
10.71,33.924
9.84,34.04
9.4,34.098
8.61,34.199
8.41,34.22
8.19,34.239
7.86,34.25
7.52,34.261
6.63,34.294
6.24,34.31
5.83,34.335
5.22,34.378
4.72,34.418
4.7,34.42
4.39,34.44
4.06,34.462
3.73,34.486
3.68,34.49
15.3,33.69
15.22,33.69
15.21,33.691
15.09,33.694
15.01,
14.95,33.684
14.51,33.64
14.34,33.616
12.87,33.48
12.67,33.485
11.33,33.6
11.26,33.61
10.57,33.748
10.33,33.87
10.28,33.911
10.01,34.23
9.91,34.254
9.23,34.277
8.64,34.31
8.53,34.315
7.72,34.34
7.6,34.342
6.73,34.353
6.09,34.36
5.97,34.364
5.38,34.387
4.88,34.408
4.61,34.42
4.49,34.419
4.15,34.417
3.81,34.418
3.48,34.42
15,33.64
15.05,33.68
15.05,33.679
15.02,33.667
15.01,33.66
14.95,33.627
14.63,33.49
14.63,33.496
14.4,33.6
13.23,33.28
11.75,33.249
10.51,33.39
10.48,33.398
9.8,33.82
9.78,33.832
9.2,34.08
8.7,34.21
8.69,34.211
7.65,34.32
6.71,
5.9,
5.89,
5.31,
4.83,
4.49,34.31
4.47,
4.18,
3.88,
3.59,
3.5,34.33
15.2,33.58
15.2,33.78
15.2,33.58
15.21,33.581
15.21,33.73
15.18,33.582
14.99,33.68
14.98,33.586
14.74,33.6
14.38,33.606
14.33,33.51
12.78,33.621
10.88,33.64
10.8,33.52
9.16,33.688
9.14,33.78
8.14,33.751
7.49,33.828
7.46,33.94
6.61,34.028
6.58,34.04
6.13,34.211
5.78,34.351
5.76,34.36
5.27,34.405
4.75,34.43
4.26,34.43
4.02,34.453
3.79,34.476
3.55,34.5
3.46,34.51
16.18,33.87
16.1,33.87
16.1,33.869
16.09,33.864
16.09,33.86
16.09,33.86
16.09,33.86
16.08,33.86
15.88,33.86
15.76,33.718
15.75,33.71
14.34,33.557
12.41,33.481
12.24,33.48
9.72,33.735
9.64,33.75
9.08,34.055
8.49,34.136
8.42,34.16
7.27,34.196
7.15,34.2
6.32,34.238
5.61,34.282
5.51,34.29
5.11,34.33
4.71,34.376
4.4,34.415
4.37,34.42
4.13,34.436
3.85,34.457
3.57,34.478
3.42,34.49
16.9,34.05
16.62,33.98
16.62,33.978
16.6,33.96
16.59,33.95
16.58,33.962
16.53,34.02
16.53,34.019
16.43,33.963
16.42,33.96
16.26,33.932
16.25,33.93
16.1,33.898
15.93,33.863
15.92,33.86
10.29,33.581
10.03,33.58
9.33,34.025
8.59,34.121
8.49,34.16
7.09,34.049
6.94,34.04
6.2,34.103
5.66,34.22
5.59,34.25
5.22,34.289
4.8,34.323
4.44,34.339
4.38,34.34
4.13,34.348
3.82,34.359
3.51,34.371
3.31,34.38
16.8,33.93
16.82,33.96
16.82,33.953
16.8,33.883
16.79,33.84
16.77,33.853
16.67,33.95
16.67,33.949
16.59,33.893
16.59,33.89
16.14,33.808
16.09,33.8
15.37,33.661
14.23,33.538
14.12,33.53
10.57,33.677
10.42,33.69
8.85,33.875
8.17,34.009
8.15,34.02
7,34.124
6.9,34.13
6.31,34.221
5.86,34.312
5.79,34.33
5.4,34.4
4.95,34.474
4.53,34.532
4.46,34.54
4.22,34.531
3.93,34.522
3.64,34.514
3.45,34.51
17.1,33.95
17.1,33.93
17.1,33.93
17.08,33.93
17.07,33.93
17.05,33.926
16.99,33.91
16.99,33.908
16.94,33.89
16.94,33.89
16.57,33.86
16.52,33.851
14.95,33.654
13.24,33.53
13.03,33.539
10.42,33.84
10.38,33.893
9.98,34.273
9.63,34.38
9.56,34.392
8.47,34.45
8.38,34.45
7.29,34.442
6.44,34.42
6.36,34.423
5.66,34.451
5.1,34.484
4.77,34.51
4.68,34.512
4.35,34.519
4.01,34.528
3.67,34.539
3.63,34.54
16.9,33.93
16.9,33.98
16.9,33.979
16.86,33.947
16.83,33.91
16.81,33.894
16.71,33.82
16.69,33.821
16.01,33.84
15.69,33.725
15.64,33.71
13.62,33.554
11.23,33.534
11.13,33.53
10.04,33.989
10.04,34
9.37,34.156
8.89,34.173
8.86,34.18
8.05,34.301
7.98,34.31
7.21,34.34
6.42,34.338
6.29,34.34
5.74,34.352
5.17,34.372
4.68,34.397
4.62,34.4
4.35,34.439
4.04,34.485
3.72,34.533
3.55,34.56
16.4,33.86
16.51,33.91
16.5,33.904
16.45,33.85
16.42,33.82
16.36,33.826
16.04,33.86
16.02,33.849
15.82,33.75
15.81,33.741
15.71,33.69
15.69,33.695
15.5,33.708
15.92,33.87
15.19,33.686
14.41,33.58
14.09,33.645
12.26,34.022
10.67,34.36
10.48,34.338
8.81,34.22
8.72,34.221
7.43,34.276
6.51,34.38
6.46,34.381
5.7,34.407
5.1,34.438
4.7,34.47
4.65,
4.33,
4,
3.67,
3.55,34.31
16.15,33.64
16.24,33.75
16.23,33.76
16.13,33.84
16.04,33.87
16.04,33.87
16.03,33.87
16.03,33.868
16.05,33.62
16.04,33.824
15.66,33.75
15.66,33.748
15.55,33.761
15.98,33.77
15.44,33.692
15.25,
14.98,33.701
12.24,33.779
9.71,33.91
9.67,33.924
8.81,34.16
8.76,34.16
7.63,34.142
6.51,34.07
5.74,34.18
5.11,34.303
4.65,34.43
4.64,34.43
4.31,34.425
3.98,34.422
3.65,34.42
3.5,34.42
16.8,33.71
16.61,
16.58,33.606
16.56,33.58
16.54,33.583
16.47,33.62
16.47,33.623
16.43,33.66
16.37,33.656
15.86,33.62
15.86,33.625
15.8,33.646
16.48,33.82
15.68,33.649
15.37,33.62
14.79,33.641
12.09,33.808
9.98,34.02
9.87,34.095
9.02,34.34
8.91,34.349
7.66,34.351
6.52,34.36
6.46,34.36
5.68,34.365
5.07,34.373
4.64,34.38
4.62,34.382
4.3,34.418
3.98,34.457
3.66,34.497
3.55,34.51
16.1,33.77
16.06,33.75
16.04,33.75
15.94,33.75
15.92,33.75
15.85,33.75
15.74,33.75
15.63,33.75
15.45,33.75
15.27,33.75
15.14,33.75
14.89,33.728
14.2,33.6
13.87,33.598
11.79,33.661
11.11,33.71
10.67,34.177
10.34,34.34
10.13,34.39
9.51,34.425
9.46,34.43
8.18,34.436
7.55,34.42
7.07,34.42
6.24,34.42
5.72,34.42
5.57,34.423
4.95,34.44
4.32,34.463
3.7,34.491
3.34,34.51
15.6,33.82
15.63,33.78
15.63,33.78
15.64,33.78
15.64,33.78
15.53,33.78
15.19,33.77
15.12,33.759
14.8,33.69
14.62,33.65
14.05,33.55
13.76,33.575
12.89,33.69
10.56,33.78
12.05,33.862
11.09,34.14
10.54,34.197
9.42,34.282
9.07,34.29
8.75,34.313
8.32,34.33
7.9,34.33
6.92,34.33
6.54,34.33
6.1,34.348
5.47,34.381
4.98,34.418
4.95,34.42
4.6,34.438
4.23,34.459
3.85,34.482
3.73,34.49
15.65,33.89
15.72,33.87
15.72,33.866
15.71,33.841
15.71,33.84
15.7,33.845
15.69,33.86
15.62,33.86
15.59,33.86
13.86,33.82
15.62,33.86
15.63,33.86
15.62,33.854
15.34,33.749
15.28,33.73
14.27,33.813
11.69,34.17
11.35,34.23
10.39,34.368
9.8,34.43
9.78,34.43
8.5,34.421
7.4,34.34
6.42,34.341
5.6,34.356
4.93,34.38
4.92,34.38
4.57,34.39
4.21,34.401
3.85,34.415
3.73,34.42
15.5,33.68
15.53,33.62
15.53,33.624
15.52,33.674
15.52,33.69
15.52,33.69
15.52,33.69
15.52,33.699
15.52,33.71
15.31,33.752
15.19,33.8
13.39,33.627
11.31,33.49
11.02,33.527
10.28,33.751
10.22,33.82
10.16,34.145
10.11,34.25
9.95,34.283
9.45,34.306
9.39,34.31
8.49,34.363
8,34.38
7.53,34.37
6.63,34.349
5.95,34.33
5.85,34.339
5.33,34.389
4.8,34.442
4.37,34.49
14,33.55
14.17,33.49
14.17,33.499
14.16,33.527
14.16,33.53
14.15,33.53
14.14,33.53
13.87,33.534
13.38,33.55
12.02,33.631
11.58,33.66
11.43,33.607
11.32,33.57
11.21,33.677
11.04,33.87
10.91,33.948
10.21,34.272
10.08,34.31
9.69,34.43
9.32,34.49
9.26,34.493
8.28,34.505
7.4,34.45
7.32,34.448
6.46,34.434
5.7,34.43
5.14,34.43
5.08,34.432
4.68,34.448
4.29,34.465
3.9,34.486
3.82,34.49
10.3,33.03
18.46,32.92
10.29,32.951
10.29,32.99
10.33,33.005
10.39,33.054
10.4,33.06
10.36,33.15
10.35,33.167
10.25,33.26
10.05,33.381
9.54,33.64
9.5,33.656
9.05,33.81
8.93,33.84
8.66,33.891
8.04,33.96
8.01,33.966
7.53,34.058
7.11,34.136
6.55,34.23
6.41,34.232
5.66,34.232
5.2,34.22
5.06,34.241
4.6,34.313
4.14,34.386
4.06,34.4
9.8,32.63
9.63,32.74
9.63,32.738
9.65,32.722
9.65,32.72
9.78,32.78
9.96,32.9
9.95,32.941
9.93,33.08
9.04,33.219
8.3,33.33
8.07,33.506
7.72,33.62
7.71,33.627
7.43,33.78
7.28,33.86
6.93,33.951
6.53,33.96
6.47,34.026
6.09,34.037
5.93,34.02
5.43,34.065
4.96,34.11
4.91,34.12
4.58,34.195
4.32,34.271
4.22,34.31
4.07,
3.78,
3.49,
3.2,
3.17,33.96
10.09,32.79
,32.77
9.85,32.767
9.61,32.744
9.57,32.74
9.57,32.74
9.56,32.74
9.55,32.755
9.54,32.83
9.15,32.87
8.78,32.92
8.37,33.139
8,33.49
7.98,33.51
7.81,33.716
7.76,33.78
7.27,33.943
6.76,34.02
6.61,34.037
6.12,34.069
6.03,34.07
5.37,34.111
4.98,34.14
4.85,34.168
4.51,34.247
4.26,34.317
4.22,34.33
3.99,34.319
3.7,34.306
3.41,34.295
3.29,34.29
9.7,32.75
9.78,32.81
9.78,32.808
9.75,32.774
9.75,32.77
9.75,32.795
9.75,32.83
9.74,32.798
9.72,32.75
8.94,33.014
8.47,33.19
7.97,33.428
7.78,33.58
7.71,33.637
7.52,33.8
7.5,33.82
7.12,33.929
6.87,33.94
6.63,33.955
6.08,33.979
6.04,33.98
5.23,34.041
4.86,34.08
4.67,34.113
4.31,34.185
4.08,34.248
4.08,34.25
3.84,34.273
3.6,34.297
3.35,34.322
3.28,34.33
11.76,
11.57,32.92
11.55,32.92
11.39,32.92
11.36,32.92
11.35,32.924
11.33,32.94
11.3,32.945
11.01,32.97
10.96,32.963
10.71,32.95
10.5,32.979
9.68,33.135
9.18,33.26
8.9,33.357
8.18,33.64
7.94,33.709
7.29,33.857
7.04,33.89
6.68,33.967
5.88,34.15
5.61,34.162
5.08,34.199
4.93,33.96
4.75,34.238
4.41,34.279
4.13,34.322
4.03,34.34
3.87,
3.61,
3.34,
3.08,
3.04,33.36
11.5,32.83
11.53,32.83
11.4,32.83
11.32,32.83
11.27,32.83
11.06,32.83
10.64,32.88
10.62,32.885
10,33.04
9.96,33.048
9.12,33.248
8.4,33.44
8.36,33.456
7.75,33.77
7.71,33.781
7.14,33.915
6.68,33.95
6.61,33.955
5.66,34
5.59,34.006
4.88,34.086
4.43,34.16
4.38,34.168
4.06,34.228
3.83,34.29
3.7,34.34
3.66,
3.44,
3.23,
3.01,
2.96,33.06
10.9,32.88
10.94,33.01
10.81,32.855
10.74,32.77
10.7,32.77
10.63,32.77
10.63,32.779
10.52,32.95
10.5,32.943
10.23,32.84
10.21,32.845
9.97,32.948
9.66,33.12
9.53,33.157
8.09,33.58
7.99,33.624
7.39,33.907
7.18,34.02
7.07,34.027
6.09,34
5.94,34.006
5.01,34.069
4.46,34.14
4.36,34.159
4.03,34.237
3.83,34.315
3.78,34.36
3.68,
3.44,
3.2,
3.01,34.2
11,32.63
11.12,32.63
10.98,32.756
10.89,32.81
10.8,32.785
10.58,32.72
10.58,32.715
10.49,32.65
10.48,32.658
10.26,32.77
10.14,32.804
9.35,33.031
8.7,33.21
8.53,33.262
7.73,33.51
7.6,33.559
7.03,33.754
6.72,33.84
6.57,33.858
5.67,33.91
5.56,33.91
4.87,33.91
4.46,33.91
4.41,33.927
4.1,34.058
3.87,34.203
3.74,34.33
3.7,34.341
3.48,34.402
3.26,34.464
3.1,34.51
10.2,32.68
17.24,32.66
9.86,32.66
9.77,32.66
9.73,32.659
9.58,32.65
9.57,32.649
9.22,32.61
9.18,32.607
8.35,32.59
8.35,32.605
8.35,32.803
8.35,32.99
8.32,33.016
7.68,
7.64,33.394
7.19,33.681
6.82,33.86
6.75,33.864
5.64,33.84
5.57,33.845
4.87,33.924
4.48,34.02
4.43,34.032
4.09,34.125
3.83,34.201
3.67,34.25
3.63,34.249
3.44,34.242
3.25,34.236
3.06,34.231
3.02,34.23
10.16,32.65
9.98,32.61
9.69,32.689
9.55,32.74
9.46,32.74
9.21,32.74
8.96,32.63
8.85,32.65
8.71,32.742
8.58,32.947
8.52,33.06
7.42,33.64
7.12,33.78
6.55,33.788
6.13,33.788
6.09,33.8
5.44,33.916
5.38,33.93
4.89,33.991
4.46,34.037
4.42,34.04
4.15,34.097
3.9,34.158
3.7,34.215
3.68,34.22
3.49,34.25
3.28,34.284
3.07,34.318
2.94,34.34
10.32,32.63
9.71,32.63
9.29,32.663
9.14,32.68
9.12,32.67
9.05,32.63
8.59,32.52
8.04,32.72
7.69,33.059
7.45,33.4
7.44,33.409
7.07,
7.06,33.761
6.43,33.951
5.84,33.98
5.81,33.982
5.18,34
5.16,34.004
4.72,34.107
4.43,34.22
4.41,34.226
4.14,34.3
3.91,34.361
3.75,34.4
3.71,34.408
3.5,34.448
3.29,34.49
3.08,34.532
3.04,34.54
9.9,
9.78,32.65
9.6,32.683
9.52,32.7
9.5,32.704
9.43,32.72
9.37,32.72
9.04,32.97
8.16,33.252
7.33,33.51
7.32,33.52
7.08,33.82
7.07,33.822
6.54,33.846
5.98,33.87
5.96,33.872
5.22,33.98
5.21,33.982
4.68,34.07
4.32,34.14
4.31,34.143
4.07,34.21
3.88,34.266
3.74,34.31
3.72,34.313
3.48,34.346
3.24,34.381
3.04,34.41
9.5,32.66
9.34,32.57
9.31,32.57
9.07,32.57
9.02,32.57
8.99,32.579
8.92,
8.91,32.599
8.89,32.61
8.82,32.613
8.63,32.66
8.4,32.817
7.81,33.262
7.58,33.46
7.44,33.606
7.26,33.8
7.08,33.858
6.54,33.946
6.27,33.95
6.06,33.978
5.58,34.04
5.38,34.059
4.86,34.115
4.64,34.14
4.49,34.182
4.2,34.269
3.96,34.351
3.89,34.38
3.72,34.394
3.46,34.418
3.19,34.443
3.12,34.45
9.15,32.66
9.23,32.65
9.05,32.667
8.97,32.68
9.03,32.716
9.31,
9.3,32.848
9.24,33.77
9.23,33.033
9.14,33.19
9.05,33.216
8.59,33.331
8.27,33.4
8.03,33.491
7.33,33.77
7.09,33.835
6.49,33.947
6.26,33.95
6.05,33.964
5.56,33.98
5.36,34
4.83,34.078
4.59,34.13
4.48,34.175
4.27,34.27
4.11,34.353
4.06,34.38
3.86,34.388
3.55,34.401
3.25,34.417
3.18,34.42
9.5,32.7
9.24,32.74
9.21,32.738
8.95,32.726
8.87,34.34
8.87,32.719
8.86,34.4
8.79,32.72
8.29,32.74
8.22,32.848
8.02,33.26
7.97,33.379
7.8,33.696
7.72,33.8
7.61,33.837
7.25,33.86
7.15,33.867
6.87,33.895
6.76,33.91
6.6,33.959
6.17,34.09
5.93,34.104
5.27,34.105
4.98,34.11
4.74,34.169
4.36,34.287
4.06,34.413
3.99,34.45
3.8,34.475
3.54,34.511
3.29,34.548
3.2,34.56
9.7,34.4
9.82,32.57
9.82,32.573
9.82,32.604
9.82,32.61
9.56,32.616
9.07,34.45
8.97,32.674
8.87,32.75
8.82,32.878
8.79,32.99
8.73,33.135
8.61,33.33
8.6,33.34
8.4,33.581
8.28,33.69
7.92,33.907
7.5,34.02
7.27,34.042
6.44,34.088
6.29,34.09
5.42,34.183
5.11,34.23
4.93,34.253
4.62,34.292
4.47,34.31
4.41,34.318
4.1,34.356
3.79,34.396
3.76,34.4
9.65,32.99
9.27,32.97
9.25,32.975
9.09,33.057
9.07,33.08
8.98,33.182
8.85,
8.77,33.422
,33.13
8.44,33.692
8.31,33.78
8.01,33.829
7.58,33.86
7.55,33.865
7.21,33.923
7.08,33.95
6.72,34.021
6.47,34.07
6.4,34.077
6.2,34.09
6.17,34.09
6,34.099
5.89,34.11
5.76,34.131
5.35,34.198
4.91,34.27
4.65,34.286
4.38,34.304
4.29,34.31
9.47,33.64
9.6,33.6
9.38,33.586
9.23,33.57
9.16,33.6
8.96,33.75
8.64,33.8
8.63,33.801
8.42,33.84
8.41,33.844
8.24,33.937
8.05,34.02
8.02,34.023
7.4,34.05
7.38,34.05
6.99,34.061
6.74,34.07
6.72,34.073
6.2,34.14
6.18,34.143
5.71,34.198
5.32,34.24
5.28,34.243
4.84,34.279
4.43,34.313
4.1,34.34
4.07,34.344
3.82,34.38
3.56,34.417
3.34,34.45
11.1,33.03
10.82,33.1
10.81,33.113
10.76,33.213
10.74,33.24
10.73,33.237
10.69,33.23
10.55,33.238
9.41,33.32
9.28,33.329
8.83,33.39
8.74,33.432
8.38,33.645
8.18,33.8
8.1,33.824
7.66,33.88
7.53,33.881
6.92,33.886
6.56,33.89
6.51,33.918
6.34,34.1
6.25,34.116
5.7,34.183
5.22,34.2
5.12,34.217
4.7,34.288
4.35,34.355
4.13,34.4
4.05,34.406
3.78,34.43
3.51,34.454
3.34,34.47
11.46,33.13
11.01,33.13
10.68,33.144
10.58,33.15
10.55,33.156
10.42,33.17
10.38,33.179
9.38,33.45
9.34,33.461
8.62,33.69
8.59,33.706
8.35,33.87
8.26,33.96
8.21,33.968
7.48,34.04
7.44,34.043
6.98,34.07
6.71,34.07
6.67,34.07
6.06,34.07
6.02,34.076
5.57,34.159
5.25,34.25
5.19,34.26
4.77,34.329
4.37,34.385
4.05,34.42
4,34.423
3.7,34.439
3.4,34.456
3.18,34.47
10.7,32.86
10.52,32.99
10.32,33.026
10.24,33.03
10.25,33.048
10.41,33.13
10.41,33.133
10.42,33.26
10.38,33.258
9.14,33.24
9.06,33.261
8.22,33.556
7.76,33.86
7.72,33.879
7.27,34.04
7.24,34.05
6.92,34.143
6.68,34.18
6.64,34.182
5.95,34.2
5.91,34.204
5.39,34.27
5.03,34.34
4.99,34.347
4.61,34.413
4.27,34.47
4,34.51
3.96,34.512
3.68,34.528
3.39,34.545
3.16,34.56
11.01,32.81
11.13,32.79
10.62,32.761
10.31,32.75
10.28,32.754
10.14,32.77
10.02,32.74
9.99,32.739
9.09,32.79
9.07,32.799
8.71,33.059
8.53,33.37
8.51,33.381
7.72,33.86
7.71,33.862
7.27,33.95
6.9,34.05
6.89,34.05
5.52,34.04
5.5,34.042
4.88,34.104
4.64,34.18
4.63,34.182
4.36,34.225
4.12,34.268
3.94,
3.93,34.313
3.69,34.359
3.45,34.405
3.22,34.45
12.32,32.88
12.05,32.94
11.85,32.895
11.78,32.88
11.77,32.88
11.71,32.88
11.71,32.88
11.71,32.88
11.65,32.889
9.94,33.17
9.83,33.189
8.78,33.404
8.24,33.55
8.21,33.563
7.72,33.82
7.68,33.829
7.06,33.934
6.52,33.96
6.48,33.962
5.78,34
5.74,34.004
5.19,34.067
4.8,34.13
4.77,34.135
4.42,34.195
4.12,34.248
3.88,34.29
3.85,34.293
3.58,34.322
3.32,34.352
3.08,34.38
12.67,32.9
7.62,32.81
11.87,32.823
11.67,32.83
11.68,32.845
11.84,32.92
11.38,32.94
11.34,32.941
10.33,33.01
10.29,33.019
9.29,33.269
8.55,33.53
8.51,33.545
7.88,33.8
7.85,33.806
7.2,33.921
6.64,33.95
6.61,33.95
5.69,33.93
5.66,33.934
5.08,34.055
4.72,34.2
4.69,34.207
4.35,34.289
4.06,34.347
3.83,34.38
3.81,34.381
3.56,34.393
3.3,34.407
3.08,34.42
12.6,32.9
5.8,32.86
11.88,32.86
11.74,32.86
11.72,32.848
11.67,32.81
11.59,32.812
10.38,32.92
10.27,32.942
9.21,33.22
9.11,33.252
8.41,33.487
8.04,33.64
7.98,33.666
7.43,33.89
7.36,33.905
6.78,33.98
6.34,33.98
6.24,33.982
5.38,34
5.31,34.008
4.85,34.085
4.65,34.16
4.6,34.173
4.3,34.242
4.04,34.302
3.85,34.34
3.79,34.347
3.54,34.378
3.28,34.409
3.12,34.43
12.38,32.9
3.49,32.83
12.04,32.851
11.97,32.86
11.92,32.86
11.69,32.86
11.64,32.857
10.85,32.77
10.69,32.803
9.56,33.12
9.4,33.17
8.58,33.45
8.19,33.62
8.12,33.67
7.82,33.93
7.71,33.956
7.05,33.986
6.56,34.02
6.42,34.018
5.74,34
5.62,34.014
5.03,34.11
4.7,34.2
4.61,34.218
4.28,34.277
4.02,34.321
3.88,34.34
3.78,34.351
3.52,34.381
3.26,34.413
3.12,34.43
12.35,32.88
12.39,32.84
12.37,32.842
12.03,32.866
11.86,32.88
11.66,32.869
11.16,32.81
11.12,32.803
10.75,32.74
10.52,32.738
9.66,32.79
9.51,32.865
9.15,33.172
9.05,33.37
8.79,33.477
7.97,33.75
7.8,33.816
7.38,33.947
7.24,33.96
6.96,33.976
6.08,34
5.83,34.02
5.18,34.088
4.92,34.13
4.71,34.152
4.24,34.207
3.84,34.261
3.65,34.29
3.57,34.316
3.39,34.376
3.2,34.437
3.1,34.47
12.2,33.44
11.48,33.42
11.44,33.426
11.19,33.501
11.18,33.51
11.1,33.535
11.05,33.55
10.93,33.579
10.74,33.62
10.67,33.62